ROIname,ROIid
BA.01,1                              
BA.02,2                              
BA.03,3                              
BA.04,4                              
BA.05,5                              
BA.06,6                              
BA.07,7                              
BA.08,8                              
BA.09,9                              
BA.10,10                             
BA.11,11                             
BA.12,12                             
BA.13,13                             
BA.14,14                             
BA.15,15                             
BA.16,16                             
BA.17,17                             
BA.18,18                             
BA.19,19                             
BA.20,20                             
BA.21,21                             
BA.22,22                             
BA.23,23                             
BA.24,24                             
BA.25,25                             
BA.26,26                             
BA.27,27                             
BA.28,28                             
BA.29,29                             
BA.30,30                             
BA.31,31                             
BA.32,32                             
BA.33,33                             
BA.34,34                             
BA.35,35                             
BA.36,36                             
BA.37,37                             
BA.38,38                             
BA.39,39                             
BA.40,40                             
BA.41,41                             
BA.42,42                             
BA.43,43                             
BA.44,44                             
BA.45,45                             
BA.46,46                             
BA.47,47                             